Model,Accuracy,Precision,Recall,F1 Score
LogisticRegression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082
RandomForest,0.8292682926829268,0.8478260869565217,0.9176470588235294,0.8813559322033898
XGBoost,0.7886178861788617,0.8390804597701149,0.8588235294117647,0.8488372093023255
